Date,Change_oil,Change_DAX,Change_gold,Change_Nikkei,Change_SP,Change_Shanghai,Change_USD_EUR,Change_USD_GBP,Change_USD_JPY
2012-01-04,1.40%,-0.89%,0.76%,1.24%,0.02%,-1.37%,0.82%,0.17%,-0.02%
2012-01-05,-0.84%,-0.25%,0.47%,-0.83%,0.29%,-0.97%,1.26%,0.84%,0.58%
2012-01-06,0.28%,-0.62%,-0.20%,-1.16%,-0.25%,0.70%,0.50%,0.39%,-0.27%
2012-01-10,0.74%,2.42%,1.46%,0.38%,0.89%,2.69%,-0.08%,-0.17%,-0.02%
2012-01-11,-0.92%,-0.17%,0.50%,0.30%,0.03%,-0.42%,0.55%,1.02%,0.02%
2012-01-12,-0.87%,0.44%,0.49%,-0.74%,0.23%,-0.05%,-0.94%,-0.11%,-0.10%
2012-01-13,-0.74%,-0.58%,-1.03%,1.36%,-0.49%,-1.34%,1.21%,0.11%,0.22%
2012-01-17,0.30%,1.82%,1.52%,1.05%,0.36%,4.18%,-0.57%,-0.06%,-0.01%
2012-01-18,-0.78%,0.34%,0.26%,0.99%,1.11%,-1.39%,-0.96%,-0.64%,-0.04%
2012-01-19,0.80%,0.97%,-0.33%,1.04%,0.49%,1.31%,-0.80%,-0.34%,0.37%
2012-01-20,-1.52%,-0.18%,0.58%,1.47%,0.07%,1.00%,0.23%,-0.56%,-0.07%
2012-01-30,-0.64%,-1.04%,-0.05%,-0.54%,-0.25%,-1.47%,0.69%,0.19%,-0.42%
2012-01-31,0.21%,0.22%,0.39%,0.11%,-0.05%,0.33%,0.46%,-0.33%,-0.13%
2012-02-01,0.52%,2.44%,0.54%,0.08%,0.89%,-1.07%,-0.61%,-0.49%,-0.10%
2012-02-02,0.46%,0.59%,0.56%,0.76%,0.11%,1.96%,0.09%,0.17%,-0.01%
2012-02-03,2.24%,1.67%,-1.08%,-0.51%,1.46%,0.77%,0.01%,-0.09%,0.55%
2012-02-06,1.18%,-0.03%,-0.87%,1.10%,-0.04%,0.03%,0.14%,-0.02%,-0.05%
2012-02-07,0.26%,-0.16%,1.37%,-0.13%,0.20%,-1.68%,-1.04%,-0.49%,0.27%
2012-02-08,0.83%,-0.08%,-0.98%,1.10%,0.22%,2.43%,0.04%,0.54%,0.39%
2012-02-09,1.19%,0.59%,0.56%,-0.15%,0.15%,0.09%,-0.21%,-0.02%,0.76%
2012-02-10,-1.08%,-1.41%,-0.90%,-0.61%,-0.69%,0.10%,0.80%,0.47%,-0.06%
2012-02-13,0.53%,0.68%,-0.02%,0.58%,0.68%,-0.01%,-0.09%,-0.16%,-0.12%
2012-02-14,0.20%,-0.15%,-0.41%,0.59%,-0.09%,-0.30%,0.57%,0.52%,1.15%
2012-02-15,0.65%,0.44%,0.61%,2.30%,-0.54%,0.94%,0.38%,-0.06%,0.12%
2012-02-16,0.99%,-0.09%,0.03%,-0.24%,1.10%,-0.42%,-0.51%,-0.66%,0.42%
2012-02-17,-0.44%,1.42%,-0.13%,1.58%,0.23%,0.01%,-0.13%,-0.22%,0.92%
2012-02-21,1.34%,-0.58%,1.89%,-0.23%,0.07%,0.75%,0.03%,0.41%,0.30%
2012-02-22,1.02%,-0.93%,0.73%,0.96%,-0.33%,0.93%,-0.05%,0.74%,0.52%
2012-02-23,0.59%,-0.50%,0.84%,0.44%,0.43%,0.25%,-0.98%,-0.50%,-0.41%
2012-02-24,1.50%,0.81%,-0.55%,0.54%,0.17%,1.25%,-0.62%,-0.88%,1.57%
2012-02-27,-1.04%,-0.22%,-0.08%,-0.14%,0.14%,0.30%,0.44%,0.41%,-0.90%
2012-02-28,-2.11%,0.56%,0.76%,0.92%,0.34%,0.20%,-0.48%,-0.52%,0.01%
2012-02-29,0.91%,-0.46%,-4.31%,0.01%,-0.47%,-0.95%,1.02%,-0.10%,1.00%
2012-03-01,2.89%,1.25%,0.66%,-0.16%,0.62%,-0.10%,0.11%,-0.21%,-0.24%
2012-03-02,-2.02%,-0.29%,-0.71%,0.72%,-0.32%,1.43%,0.88%,0.75%,0.88%
2012-03-05,0.12%,-0.79%,-0.34%,-0.80%,-0.39%,-0.64%,-0.13%,-0.17%,-0.33%
2012-03-06,-1.47%,-3.40%,-1.86%,-0.63%,-1.54%,-1.41%,0.79%,0.92%,-1.09%
2012-03-07,1.75%,0.57%,0.71%,-0.64%,0.69%,-0.65%,-0.31%,-0.19%,0.89%
